epoch,avg_loss,accuracy
1,4.77578641,0.189655
2,4.67005065,0.882759
3,4.56458520,0.882759
4,4.45942723,0.882759
5,4.35461964,0.882759
6,4.25021190,0.882759
7,4.14626066,0.882759
8,4.04283029,0.882759
9,3.93999283,0.882759
10,3.83782745,0.882759
11,3.73641899,0.882759
12,3.63585571,0.882759
13,3.53622645,0.882759
14,3.43761765,0.882759
15,3.34011095,0.882759
16,3.24378162,0.882759
17,3.14869811,0.882759
18,3.05492235,0.882759
19,2.96251046,0.882759
20,2.87151360,0.882759
21,2.78197872,0.882759
22,2.69394935,0.882759
23,2.60746632,0.882759
24,2.52256857,0.882759
25,2.43929391,0.882759
26,2.35767982,0.882759
27,2.27776395,0.882759
28,2.19958452,0.882759
29,2.12318037,0.882759
30,2.04859075,0.882759
31,1.97585493,0.882759
32,1.90501146,0.882759
33,1.83609746,0.882759
34,1.76914768,0.882759
35,1.70419355,0.882759
36,1.64126234,0.882759
37,1.58037627,0.882759
38,1.52155178,0.882759
39,1.46479892,0.882759
40,1.41012090,0.882759
41,1.35751375,0.882759
42,1.30696625,0.882759
43,1.25845991,0.882759
44,1.21196921,0.882759
45,1.16746191,0.882759
46,1.12489955,0.882759
47,1.08423796,0.882759
48,1.04542793,0.882759
49,1.00841594,0.882759
50,0.97314479,0.882759
